belongs_to_collection,budget,genres,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
,14000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",22004,tt0105636,en,"Two Arkansas firemen, Vince and Don, get hold of a map that leads to a cache of stolen gold in an abandoned factory in East St. Louis. What they don't know is that the factory is in the turf of a local gang, who come by to execute one of their enemies. Vince sees the shooting, the gang spots Vince, and extended mayhem ensues. As Vince and Don try to escape, gang leader King James argues with his subordinate Savon about how to get rid of the trespassers.",9.879725,/zTvIflGrVhLM6UKRqSJ4VkydLwv.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/25/92,0,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They all came to the wrong place at the wrong time.,Trespass,6.2,46
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",10433,tt0107473,en,"Wayne Dobie is a shy cop whose low-key demeanor has earned him the affectionate nickname ""Mad Dog."" After Mad Dog saves the life of Frank Milo, a crime boss and aspiring stand-up comedian, he's offered the company of an attractive young waitress named Glory for a week. At first both are uneasy about the arrangement, but they eventually fall in love. However, the situation becomes complicated when Milo demands Glory back.",4.769347,/xZlVITyuTxI3Olu9h64xYPdpZyP.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Mad Dog Productions', 'id': 18736}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/5/93,11081586,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A cop who'd rather be an artist. A mobster who'd rather be a comic. And a woman who'd rather be anywhere but between them.,Mad Dog and Glory,5.5,78
,20000000,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",15673,tt0345074,en,"After accidentally witnessing a mafia hit in the Windy City, gal pals Connie and Carla skip town for L.A., where they go way undercover as singers working the city's dinner theater circuit ... as drag queens. Now, it's not enough that they become big hits on the scene; things get extra-weird when Connie meets Jeff -- a guy she'd like to be a woman with",9.502332,/o5NTGa9WajYbWhaJEBmKo7J1GsR.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'CCLA Productions', 'id': 95595}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/16/04,11341016,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When you follow your dream, there's no telling what you'll become.",Connie and Carla,6.4,24
"{'id': 109608, 'name': 'Van Helsing Collection', 'poster_path': '/kuqxOT5Ox7mrHUSvwuDCJG6tuRL.jpg', 'backdrop_path': '/uBNNmICsBnLhB2zhQ8PpwoluoYR.jpg'}",160000000,"[{'id': 27, 'name': 'Horror'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",7131,tt0338526,en,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,12.643312,/s2OPT5CZsZBQYAIlO9Mv4AimHvV.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Stillking Films', 'id': 11345}, {'name': 'Sommers Company, The', 'id': 19643}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",5/5/04,300257475,132,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,The One Name They All Fear.,Van Helsing,6,1674
,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",10375,tt0160184,en,A disgraced FBI agent with a drinking problem joins nine other troubled law enforcement officers at an isolated detox clinic in the wilds of Wyoming. But the therapeutic sanctuary becomes a nightmarish hellhole when a major snowstorm cuts off the clinic from the outside world and enables a killer on the inside to get busy.,13.374415,/fiMHykdFwPF76Xtpl59hRTGo7Kf.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/4/02,6416302,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Survival is a Killer.,D-Tox,5.4,126
,0,"[{'id': 10749, 'name': 'Romance'}]",17993,tt0099762,en,"While traveling in Paris, author Henry Miller and his wife, June, meet Anais Nin, and sexual sparks fly as Nin starts an affair with the openly bisexual June. When June is forced to return to the U.S., she gives Nin her blessing to sleep with her husband. Then, when June returns to France, an unexpected, and sometimes contentious, threesome forms.",4.459959,/vh5vFqyj45wtyDPfq9INu1l3vF9.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Walrus & Associates', 'id': 35480}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/28/90,11567449,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A true adventure more erotic than any fantasy,Henry & June,6.3,40
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",41003,tt0103251,en,"Max Baron is a Jewish advertising executive in his 20s who's still getting over the death of his wife. Nora Baker is a 40-something diner waitress who enjoys the wilder side of life. Mismatched or not, their attraction is instant and smoldering. With time, however, their class and age differences become an obstacle in their relationship, especially since Max can't keep Nora a secret from his Jewish friends and upper-crust associates forever.",2.59282,/WcWCAYhcaSJu8TqETGvr1J16dz.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/19/90,17487531,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The story of a younger man and a bolder woman.,White Palace,6.2,33
,12000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",13937,tt0105217,en,"When neighborhood kids begin vanishing, Jenny suspects her child psychologist husband, Carter, may be resuming the deranged experiments his father performed on Carter when he was young. Now, it falls to Jenny to unravel the mystery. And as more children disappear, she fears for her own child's safety.",8.816951,/upKnvCg33FiYlhJh6h3QGAxOJU4.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Pacific Western', 'id': 1280}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/7/92,37170057,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Demented. Deranged. Deceptive. De Palma.,Raising Cain,5.9,66
,0,"[{'id': 35, 'name': 'Comedy'}]",29601,tt0033436,en,"Petty con artists, Bud &amp; Lou mistakenly join the Army evading the cops. The cop chasing them winds up as their drill instructor. A rich young man and his former working class chauffeur are not only in the same unit, they're vying for a pretty girl who seems attracted to both.",1.633148,/wSpEU4cyJhlATcxk7bSStNjDxcH.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/31/41,0,84,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Swing it!,Buck Privates,6.7,14
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",27171,tt0087635,en,A writer for a greeting card company learns the true meaning of loneliness when he comes home to find his girlfriend in bed with another man.,4.273982,/6vTAObu67bMcrXCwrPqbylLDr7J.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Aspen Film Society', 'id': 1951}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/27/84,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Lonely Guy,6.4,41
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",25389,tt0107529,en,"A showman introduces a small coastal town to a unique movie experience and capitalises on the Cuban Missile crisis hysteria with a kitschy horror extravaganza combining film effects, stage props and actors in rubber suits in this salute to the B-movie.",7.256473,/8e9ez0wPLwNyj0qwfMyg8Ymveen.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Falcon Productions', 'id': 4386}, {'name': 'Renfield Productions', 'id': 4387}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/29/93,9532895,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Lawrence Woolsey presents the end of civilization as we know it. Make that... Proudly Presents!,Matinee,6.4,52
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",42204,tt0077532,en,"Q-SKY is the #1 radio station in Los Angeles mainly because of the music they play; running the station the way they want to, it has made them a ratings success.",0.266786,/pnLPGD3mJ8yqlq8FRVqwLORvaal.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/20/78,0,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Rumored,No Static At All!,FM,6.7,6
"{'id': 91799, 'name': 'Tremors Collection', 'poster_path': '/dCeNEdBgkpXMIAndv02JI3DXzKj.jpg', 'backdrop_path': '/87K8X2WixRlR3LxzeydW83N7nM0.jpg'}",4000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",11069,tt0114720,en,"Those supersucking desert creatures are back --- and this time they're south of the border. As the creatures worm their way through the oil fields of Mexico, the only people who can wrangle them are veteran Earl Bassett and survivalist Burt Gummer. Add to that team a young punk out for cash and a fearless scientist, and the critters don't stand a chance.",9.877868,/paM021FyQsgsErxRa7ywRz7EQCv.jpg,"[{'name': 'MCA/Universal Pictures', 'id': 3852}, {'name': 'Stampede Entertainment', 'id': 3853}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/9/96,0,100,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,The Worms have turned.,Tremors 2: Aftershocks,5.9,209
,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",13122,tt0105121,en,"When young Fool breaks into the home of his family's greedy and uncaring landlords, he discovers a disturbing scenario where incestuous adult siblings have mutilated a number of boys and kept them imprisoned under stairs in their large, creepy house. As Fool attempts to flee before the psychopaths can catch him, he meets their daughter, Alice, who has been spared any extreme discipline by her deranged parents. Can Fool and Alice escape before it's too late?",12.709349,/jQib0QxTFN8BDjpnQEeyLzfzlLU.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Alive Films', 'id': 17823}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/1/91,0,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,In every neighborhood there is one house that adults whisper about and children cross the street to avoid.,The People Under the Stairs,6.4,150
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",14638,tt0038669,en,"Two professional killers invade a small town and kill a gas station attendant, ""the Swede,"" who's expecting them. Insurance investigator Reardon pursues the case against the orders of his boss, who considers it trivial. Weaving together threads of the Swede's life, Reardon uncovers a complex tale of treachery and crime, all linked with gorgeous, mysterious Kitty Collins.",4.297965,/uXnuc6pW01s1MDwb6QwBWg2JQeX.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/28/46,0,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,TENSE! TAUT! TERRIFIC! Told the untamed Hemingway way!,The Killers,7.6,81
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",54715,tt0104697,en,A female buddy story in which Meg Tilly plays a child-like 20-something who has just walked out on her abusive husband. Darly (Christine Lahti) is fleeing a life as a waitress and stripper and is on her way to Alaska to claim a home and family she abandoned eighteen years earlier after giving birth. The two run into each other on the road and Darly welcomes the company as they head north from Wyoming.,0.945706,/5JuqOmOxDn86eS6uQ7uvnqwBv9A.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Mirage Entertainment', 'id': 205}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/29/92,0,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes the only way to find where you're going is to lose your way,Leaving Normal,6,7
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",11548,tt0092494,en,"In a soon to be demolished block of apartments, the residents resist the criminal methods used to force them to leave so a greedy tycoon can build his new skyscraper. When tiny mechanical aliens land for a recharge, they decide to stay and help out.",11.492174,/6N2HGV0KgCWVg41zAgAuBbwcE3e.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/18/87,65088797,106,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Five ordinary people needed a miracle. Then one night, Faye Riley left the window open.",Batteries not Included,6.3,222
,36000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",51515,tt0101373,en,"Martin and Hazel Quarrier are small-town fundamentalist missionaries sent to the jungles of South America to convert the Indians. Their remote mission was previously run by the Catholics, before the natives murdered them all. They are sent by the pompous Leslie Huben, who runs the missionary effort in the area but who seems more concerned about competing with his Catholic 'rivals' than in the Indians themselves. Hazel is terrified of the Indians while Martin is fascinated. Soon American pilot Lewis Moon joins the Indian tribe but is attracted by Leslie's young wife, Andy. Can the interaction of these characters and cultures, and the advancing bulldozers of civilization, avoid disaster?",2.151436,/5Q526tcfxRi6NAJ3ifwnNAVO2y9.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Saul Zaentz Company', 'id': 5237}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/6/91,1345903,189,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"An adventure beyond the limits of civilization, faith and passion.",At Play in the Fields of the Lord,5.8,11
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]",29353,tt0032828,en,"Set in the American Old West of the 1880s, Miss Flower Belle Lee (Mae West) is on her way to visit relatives out west. While she is traveling on a stagecoach a masked bandit on horseback holds up the stage for its shipment of gold. As he makes his getaway with the gold, he takes Flower Belle with him. Flower Belle then walks into town under suspicion of being in collusion with the bandit.",0.732382,/bB0ewfiQCrtpdRTd5DQs3cLSigg.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/9/40,0,83,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"It's the lafftime of a lifetime ! . . as ""Wild Bill"" Fields tries to tame the West!",My Little Chickadee,7.5,4
,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",10631,tt0086873,en,"Just before stubborn millionaire Edwina Cutwater dies, she asks her uptight lawyer, Roger Cobb to amend her will so that her soul will pass to the young, vibrant Terry Hoskins – but the spiritual transference goes awry. Edwina enters Roger's body instead, forcing him to battle Edwina for control of his own being.",9.335812,/k6z49N7FL8jlY0IG14wMmlOZFxa.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Kings Road Entertainment', 'id': 4255}, {'name': 'Thorn EMI Screen Entertainment', 'id': 6179}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/7/84,0,93,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They say that behind every great man there's a woman. But in this case it's ridiculous.,All of Me,6.4,93
,15000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",11884,tt0087597,en,A video game expert Alex Rogan finds himself transported to another planet after conquering The Last Starfighter video game only to find out it was just a test. He was recruited to join the team of best Starfighters to defend their world from the attack.,5.984133,/an1H0DPADLDlEsiUy8vE9AWqrhm.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Lorimar Film Entertainment', 'id': 1176}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/13/84,28733290,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He didn't find his dreams... his dreams found him.,The Last Starfighter,6.5,225
,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",31948,tt0077629,en,"The USS Neptune, a nuclear submarine, is sunk off the coast of Connecticut after a collision with a Norwegian cargo ship. The navy must attempt a potentially dangerous rescue in the hope of saving the lives of the crew.",3.507084,/afSSqIIfyqil4ZQSn6eTFy46FNl.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Mirisch Corporation', 'id': 219}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/10/78,5438927,111,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'no', 'name': 'Norsk'}]",Released,Trapped underwater... with time running out.,Gray Lady Down,6.7,20
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",46495,tt0064728,en,Two kidnappers snatch a girl off the streets and imprison her in a remote beach house.,1.355567,/poN6qkCw1Cutc6dB2TBB08QOwJ6.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gina Production', 'id': 14380}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/26/68,0,93,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,"The Higher the Stakes, The Greater the Terror.",The Night of the Following Day,5.3,10
"{'id': 31562, 'name': 'The Bourne Collection', 'poster_path': '/lTfOZ25PhQkmGb5NHmaFnwB7b13.jpg', 'backdrop_path': '/vA5xMglyZv7yzDTj1qUTU4OvelV.jpg'}",75000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2502,tt0372183,en,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",20.40426,/jXwZgmqOtsqsXuB9oGhocOAegCM.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Kennedy/Marshall Company', 'id': 862}, {'name': 'Hypnotic', 'id': 7384}, {'name': 'Motion Picture THETA Produktionsgesellschaft', 'id': 11346}, {'name': 'Ludlum Entertainment', 'id': 11347}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",7/23/04,288500217,108,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,They should have left him alone.,The Bourne Supremacy,7.2,2873
,3200000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",24559,tt0069280,en,"""Listen: Billie Pilgrim has come unstuck in time."" Slaughterhouse-Five is an award-winning 1972 film adaptation of Kurt Vonnegut's novel of the same name. Director Hill faithfully renders for the screen Vonnegut's obsessive story of Pilgrim, who survives the 1945 firebombing of Dresden, then lives simultaneously in his past, present, and future.",5.250311,/8PB2clt4loAdlsB6ry8dE1TEhge.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Vanadas Productions', 'id': 4332}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/15/72,0,104,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Billy Pilgrim lives - from time to time.,Slaughterhouse-Five,6.3,47
,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",43785,tt0035369,en,"When honest ship captain Roy Glennister gets swindled out of his mine claim, he turns to saloon singer Cherry Malotte for assistance in his battle with no-good town kingpin Alexander McNamara.",0.773289,/1NaWF95D17Rlwx1movOGSMIxc8i.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Charles K. Feldman Group', 'id': 1317}, {'name': 'Frank Lloyd Productions', 'id': 10718}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/8/42,0,87,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Crashing Fists in the Gold-Crazed Alaska of '98!,The Spoilers,5.8,10
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",20298,tt0038360,en,"A falsely convicted man's wife, Catherine (Vincent), and an alcoholic composer and pianist, Martin (Duryea) team up in an attempt to clear her husband of the murder of a blonde singer, who is Martin's wife. Their investigation leads them to confrontations with a determined policeman (Crawford) and a shifty nightclub owner (Lorre), whom Catherine and Martin suspect may be the real killer.",7.74492,/gSpQ7iTM8P3VIW8vlrvtmYBPjap.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/2/46,0,81,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Duryea! ...that fascinating tough-guy of ""Scarlet Street""!",Black Angel,5.8,13
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)', 'poster_path': '/vjERITzfag3OJM6QXjZO6H7Ai3s.jpg', 'backdrop_path': '/uuk6Gja81opjfmA7MN3WsOdtMYf.jpg'}",0,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",20408,tt0039017,en,"Holmes is hired by Roland Carstairs to prevent the theft of the Star of Rhodesia, an enormous diamond owned by Carstairs' mother, Lady Margaret. Believing the diamond will be stolen on a train trip from London to Edinburgh, Holmes deftly switches diamonds with Lady Margaret while in her compartment. Soon after, Roland is murdered and the fake diamond is stolen.",4.660762,/9eTBHHXzkjGhr67f55nTkFlLCjY.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/1/46,0,60,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One Way Ticket to DEATH..!,Terror by Night,6.6,27
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)', 'poster_path': '/vjERITzfag3OJM6QXjZO6H7Ai3s.jpg', 'backdrop_path': '/uuk6Gja81opjfmA7MN3WsOdtMYf.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",18706,tt0035317,en,"Starting in Switzerland, Sherlock Holmes rescues the inventor of a bomb-sight which the allies want to keep from the Nazis. Back in London it seems that the inventor is not all that he seemed.",2.538368,/mJyEiDQrxsHlH6oQPeZy4MQ78Rm.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/25/42,0,68,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Sherlock Holmes and the Secret Weapon,6.8,23
"{'id': 478628, 'name': 'Sherlock Holmes (1939 series)', 'poster_path': '/vjERITzfag3OJM6QXjZO6H7Ai3s.jpg', 'backdrop_path': '/uuk6Gja81opjfmA7MN3WsOdtMYf.jpg'}",0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",34327,tt0038259,en,"A series of bizarre, seemingly unconnected murders leads Holmes and Watson to a society of hypnotists and a mysterious, glamorous woman. The case takes a mesmerizing turn when the fiendish Dr. Moriarty appears to be involved. Reason? He was seen most recently swinging from the hangman's noose.",1.483385,/z4nwnxisKGeQrkIDxxPC3yAKmsc.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/27/45,0,68,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Temptress of Pleasure - or Mistress of Murder?,The Woman in Green,6.2,21
"{'id': 330605, 'name': 'The Sting Collection', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",36912,tt0086370,en,"Hooker and Gondorf pull a con on Macalinski, an especially nasty mob boss with the help of Veronica, a new grifter. They convince this new victim that Hooker is a somewhat dull boxer who is tired of taking dives for Gondorf. There is a ringer. Lonigan, their victim from the first movie, is setting them up to take the fall.",3.659745,/5DS3Jj8uSv48s0HjmbeNSIqd0vr.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/18/83,6347072,102,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,The con is on... place your bets!,The Sting II,4.5,12
,31000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11823,tt0360201,en,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",14.224013,/nwFbj6gXVhbf0vCvCyVUUlD5AdB.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",9/13/04,41512007,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She's the golden girl. He's the longshot. It's a match made in...,Wimbledon,6,303
,4000000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",747,tt0365748,en,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",14.902948,/ssY4EvRvufUZooNq1buRUrW7lCX.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Big Talk Productions', 'id': 443}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Film4', 'id': 9349}, {'name': 'Working Title Films', 'id': 10163}, {'name': 'WT2 Productions', 'id': 10462}, {'name': 'De Wolfe Music', 'id': 53047}, {'name': 'Inside Track 2', 'id': 53048}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}]",4/9/04,30039392,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A romantic comedy. With zombies.,Shaun of the Dead,7.5,2479
